63246 3327 100 57 0 0
63246 0 110 10 0 0
63246 555 115 6 0 0
136756 3327 178 62 0 0
136756 0 188 10 0 0
138998 813 199 11 0 0
190078 8758 262 60 1 0
207035 5922 299 45 5 0
304 6604 13 59 0 0
43058 4607 76 64 3 0
75113 3358 118 44 3 0
136578 5209 184 69 6 0
197507 5439 242 70 6 0
16635 8824 50 119 4 0
69423 4974 96 48 4 0
114103 2779 151 59 5 0
114103 0 161 10 5 0
114134 0 182 22 5 0
114134 31 190 10 5 0
114180 46 224 33 5 0
114180 0 231 8 5 0
114180 0 238 7 5 0
114242 77 249 14 5 0
114288 46 255 7 5 0
114288 906 267 17 5 0
11226 4994 25 45 2 0
73690 1724 85 48 2 0
0 1724 12 63 3 0
0 0 21 9 3 0
77 46 36 17 3 0
94715 9054 135 99 6 0
118827 4479 177 45 8 0
458802 9891 438 247 11 0
477793 1424 487 66 25 0
215508 4990 169 245 2 0
235305 828 194 29 2 0
278060 14327 263 77 11 0
783490 21049 573 392 1 0
787834 1198 588 23 6 0
865799 6651 694 110 9 0
865799 0 701 7 9 0
865876 46 710 10 9 0
865938 0 720 10 9 0
865938 0 724 5 10 0
865938 0 731 13 10 0
938 5287 24 33 0 0
938 0 32 8 0 0
1061 92 45 13 0 0
1061 0 62 17 0 0
1107 46 76 14 0 0
1107 0 91 15 0 0
3810 2391 110 21 1 0
492938 10168 475 313 1 0
524794 0 510 36 2 0
529908 1200 534 27 5 0
537098 3259 558 30 5 0
150952 4432 126 119 1 0
150998 46 142 17 1 0
150998 0 150 7 1 0
151310 1552 196 52 3 0
159549 1209 213 17 4 0
160351 1597 223 15 4 0
2353 9169 19 44 4 0
2353 1390 26 6 4 0
5070 1118 38 12 4 0
0 1118 7 19 0 0
48541 633 59 51 9 0
186523 9850 194 163 18 0
228196 3232 232 40 18 0
231081 1534 248 23 19 0
4142 3117 21 49 1 0
18394 93 46 28 1 0
18440 46 60 14 1 0
47189 2362 98 43 1 0
47327 138 112 17 1 0
47327 0 123 11 1 0
124034 3653 203 84 7 0
14421 22171 54 146 0 0
14560 46 67 13 0 0
14560 0 101 35 0 0
14637 46 109 8 0 0
14668 31 119 11 0 0
14668 0 123 4 0 0
14699 77 134 16 0 0
14776 0 141 8 0 0
14822 46 173 55 0 0
14853 0 184 13 0 0
15054 183 210 36 0 0
15085 0 227 17 0 0
15085 0 234 7 0 0
15298 557 243 10 0 0
15406 77 257 17 0 0
0 77 13 30 0 0
0 0 30 22 0 0
0 0 41 11 0 0
2465 3712 68 34 2 0
39764 4778 47 81 1 0
39764 0 58 13 1 0
39764 0 62 4 1 0
39965 170 92 42 1 0
39965 0 99 4 1 0
40181 247 123 35 1 0
40181 0 126 3 1 0
40212 62 133 11 1 0
3021 3005 72 137 2 0
3021 0 78 6 2 0
3021 0 91 13 2 0
3021 0 102 11 2 0
3021 0 105 3 2 0
3021 0 111 6 2 0
3021 0 118 7 2 0
3021 0 126 7 2 0
3021 0 134 8 2 0
3021 0 140 6 2 0
5633 2869 218 131 2 0
5633 0 229 12 2 0
5633 0 236 7 2 0
5633 0 243 7 2 0
5633 0 248 5 2 0
5633 0 255 7 2 0
5664 31 259 6 2 0
5819 155 277 23 2 0
5819 0 280 3 2 0
5819 37 288 9 2 0
5819 0 301 13 2 0
8145 2331 367 114 2 0
8145 360 377 18 9 0
384849 3663 265 226 5 0
582026 5492 436 163 13 0
631363 2516 493 59 15 0
733891 2994 576 86 15 0
885708 8336 719 155 17 0
119221 10736 107 250 0 0
156724 4487 163 58 2 0
173817 4008 204 51 6 0
200267 5316 238 40 6 0
407728 16046 504 276 10 0
451915 2707 551 42 10 0
519754 1838 617 79 14 0
895696 1854 899 237 29 0
1062254 2857 1012 107 30 0
1125831 2393 1072 73 36 0
1134725 1292 1094 31 41 0
1233600 3757 1186 116 54 0
203644 11024 153 246 2 0
236890 3685 202 67 10 0
274669 6773 245 59 10 0
390124 5605 344 120 12 0
495679 6575 489 216 23 0
683660 5414 646 175 26 0
724172 3777 704 77 31 0
748666 1092 730 29 31 0
996495 3687 919 111 35 0
1020631 1855 949 39 39 0
426032 14064 343 330 12 0
122189 18962 119 452 5 0
133763 15093 166 53 9 0
225013 2701 254 107 20 0
306089 6641 338 93 20 0
342052 7063 431 153 24 0
39071 10401 48 208 0 0
48965 4238 88 52 2 0
139966 2802 176 106 20 0
277335 5137 292 128 24 0
55819 5137 70 208 9 0
258652 13999 221 450 0 0
327 13999 10 460 3 0
44437 18575 55 521 0 0
85152 19163 67 590 0 0
49985 22882 69 677 10 0
107721 4326 173 159 10 0
37111 5920 48 217 4 0
41043 1993 62 17 4 0
56555 1245 93 49 9 0
59118 6065 79 115 1 0
144374 5683 186 145 6 0
17939 7762 52 213 6 0
61560 7438 128 93 11 0
118190 4419 190 90 17 0
28547 6154 39 129 2 0
103524 7648 86 214 5 0
173980 2116 189 125 6 0
174135 711 212 35 6 0
73509 2248 74 106 3 0
1043 2732 49 145 1 0
3700 6138 19 164 4 0
1596 6169 12 176 0 0
1596 0 19 7 2 0
1642 83 34 16 2 0
1642 0 44 9 2 0
