8482 51066 39 468
11377 4663 62 25
12137 1104 72 17
248 1468 6 24
672 788 14 10
3088 2371 8 21
4602 703 20 13
5180 728 30 13
5436 287 36 6
14139 15895 91 108
5311 20151 66 175
6051 1178 81 21
36923 21240 87 120
7663 30006 29 156
2081 37979 21 187
29467 63774 69 272
34039 17248 119 70
44359 44130 190 111
47893 18796 217 33
57787 14203 246 37
60087 7559 272 33
71247 23019 349 129
80662 8184 370 22
94823 33960 420 66
104771 22554 470 77
176164 17395 555 103
178437 1678 570 15
180975 7060 580 15
232323 19605 672 123
244600 5631 720 56
269426 35634 805 107
2088 38451 32 140
9655 13723 69 48
21791 11806 98 78
38207 38318 95 187
43843 12601 113 26
46160 2234 139 28
98655 14966 209 82
103393 46830 121 225
142178 14337 177 79
158435 10713 229 62
226050 6042 284 69
266378 9081 355 95
41507 37257 74 179
43027 5800 89 18
16034 14362 72 125
102204 47189 112 242
107671 5110 155 54
3702 10839 29 89
2043 13912 36 131
2231 15814 20 148
3922 2090 50 37
4110 188 54 4
20307 9433 121 78
14801 18562 29 107
33751 17571 113 116
47833 65590 92 238
22258 75598 74 316
22530 376 80 9
968 1344 20 29
19101 2551 54 42
1278 3515 20 62
3647 2865 61 54
4147 500 71 10
4860 793 84 15
22502 7741 115 39
30023 3253 147 46
1723 6920 14 61
3935 2797 50 50
4195 260 55 5
5038 905 71 17
5226 188 75 4
5911 636 89 14
6211 548 95 9
1008 1609 18 29
1652 831 32 17
643 1419 12 29
1553 1237 27 22
2388 1402 37 10
3763 1624 60 30
4387 624 72 12
5119 913 88 18
5847 728 102 14
6361 534 112 11
7089 728 126 14
7237 148 130 4
7621 344 138 7
8337 716 152 14
9065 728 166 14
10219 1459 186 25
10886 1666 192 11
554 2042 8 20
950 396 16 8
1178 228 21 5
2156 998 40 20
2858 544 56 13
3436 578 67 11
3604 168 71 4
4707 1177 92 22
4923 216 97 5
6368 1637 121 28
7404 1036 142 21
8172 904 155 17
8640 468 164 9
9004 364 171 7
9509 899 177 7
9971 482 186 10
62852 5749 246 64
69523 1176 257 10
70127 604 269 12
70425 298 275 6
71283 1046 289 18
71583 300 295 6
74605 3699 318 30
164012 4754 400 83
164520 508 410 10
164728 208 414 4
165228 552 424 12
166536 1360 450 27
167160 624 462 12
167892 732 478 16
168706 814 494 16
169154 448 503 9
170202 1236 520 21
170910 708 534 14
171626 852 546 16
172362 832 561 17
173188 878 576 16
